date,counterparty,matter,clause_topic,position_requested,outcome,approved_by,notes
"December 12, 2025",Quenby Manufacturing,MSA,Non-Solicitation,non-solicit section dropped,Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"December 12, 2025",Quenby Manufacturing,MSA,Governing Law,governing law moved to New York,Approved,Partner - D. Okafor; GC sign-off - R. Castellanos,Deviation from standard form approved for this matter.
"December 12, 2025",Quenby Manufacturing,MSA,Fees and Payment,45-day payment terms (procurement policy),Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"December 12, 2025",Quenby Manufacturing,MSA,Limitation of Liability,liability cap raised to 12 months,Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"April 11, 2026",Halloway Media,MSA,Fees and Payment,net 60 for an enterprise account,Approved,Partner - D. Okafor; GC sign-off - R. Castellanos,Deviation from standard form approved for this matter.
"April 11, 2026",Halloway Media,MSA,Limitation of Liability,liability cap raised to 12 months,Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"May 12, 2026",Talvace Financial,MSA,Fees and Payment,net 60 for an enterprise account,Approved,Partner - D. Okafor; GC sign-off - R. Castellanos,Deviation from standard form approved for this matter.
"May 12, 2026",Talvace Financial,MSA,Limitation of Liability,liability cap raised to 12 months,Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"May 12, 2026",Talvace Financial,MSA,Termination,30-day convenience notice with prorated refund,Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"May 12, 2026",Talvace Financial,MSA,Term and Renewal,non-renewal notice shortened to 60 days,Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"May 12, 2026",Talvace Financial,MSA,Audit,second annual audit for regulated customers,Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
"May 12, 2026",Talvace Financial,MSA,Assignment,mutual M&A assignment exception,Approved,Partner - M. Lindqvist,Deviation from standard form approved for this matter.
